今	いま	ima	now
今日	きょう	kyou	today
今年	ことし	kotoshi	this year
今週	こんしゅう	konshuu	this week
兄	あに	ani	olther brother
前	まえ	mae	in front (of); before (e.g. a building)
前半	ぜんはん	zenhan	first half
名前	なまえ	namae	name
荷物	にもつ	nimotsu	uggage; baggage
置く	おく	oku	to put
後	あと	ato	behind (time)
後ろ	うしろ	ushiro	back; behind
前後	ぜんご	zengo	front and rear
はれ後くもり	はれのちくもり	hare nochi kumori	first sunny later cloudy
また後で	またあとで	mata ato de	see you later
後半	こうはん	kouhan	second half
午前	ごぜん	gozen	morning; a.m.
午後	ごご	gogo	afternoon; p.m.
今週	こんしゅう	konshuu	this week​
週末	しゅうまつ	shuumatsu	weekend
週間	しゅうかん	shuukan	week
一週間	いっしゅうかん	isshoukan	one week
来週	らいしゅう	raishuu	next week
毎週	まいしゅう	maishuu	every week
毎	ごと	goto	each; every
毎日	まいにち	mainichi	every day
毎週	まいしゅう	maishuu	every week
毎月	まいつき	maitsuki	every month; each month
毎年	まいねん	mainen	every year; yearly; annually
朝	あさ	asa	morning
朝食	ちょうしょく	choushoku	breakfast
朝ご飯	あさごはん	asagohan	breakfast
朝日	あさひ	asabi	morning sun​
毎朝	まいあさ	maiasa	every morning
爽やか	さわやか	sawayaka	fresh; refreshing
今朝	けさ	kesa	this morning​
昼	ひる	hiru	noon; midday
昼食	ちゅうしょく	chuushoku	lunch; midday meal​
昼ご飯	ひるごはん	hirugohan	lunch; midday meal
昼休み	ひるやす	hiruyasumi	lunch break
今日	きょう	kyou	today; this day
夜	よる	yoru	night
夜中	よなか	yonaka	middle of the night
今夜	こんや	konya	this evening; tonight
外	そと	soto	outside; exterior
外	はこ	hako	another place; some other place
外す	はずす	hazusu	to remove; to take off; to detach; to unfasten; to undo
外国	がいこく	gaikoku	foreign country
外食	がいしょく	gaishoku	eating out; dining out​
内	うち	uchi	inside; within
国内	こくない	kokunai	internal; domestic
細い	ほそい	hosoi	thin; slender; fine​
重い	おもい	omoi	heavy; weighty​
春	はる	haru	spring; springtime
春分の日	しゅんぶんのひ	shunbunnohi	Vernal Equinox Day
青春	せいしゅん	seishuun	youth; springtime of life; adolescent
夏	なつ	natsu	summer
初夏	しょか	shoka	early summer
夏休み	なつやすみ	natsuyasumi	summer vacation; summer holiday
帰省	きせい	kisei	homecoming; returning home
秋	あき	aki	autumn; fall
季節	きせつ	kisetsu	season; time of year
秋分の日	しゅうぶんのひ	shuubunnohi	Autumnal Equinox Day
冬	ふゆ	fuyu	winter
春夏秋冬	しゅんかしゅうとう	shunkashuutou	the four seasons
多い	おおい	ooi	many; numerous; a lot
町	まち	machi	town
少ない	すくない	sukunai	few; a little; scarce; insufficient; seldom
少し	すこし	sukoshi	a little; a bit; a small amount;
少年	しょうねん	shounen	boy; juvenile; young boy
少女	しょうじょ	shoujo	girl (usu. between 7 and 17); young lady
小学生	しょうがくせい	shougakusei	elementary school student
