Ah!, Oh!	ああ	aa	
to meet, to see	あう	au	会う
blue	あお	ao	青
blue	あおい	aoi	青い
red	あか	aka	赤
red	あかい	akai	赤い
bright, cheerful	あかるい	akarui	明るい
autumn, fall	あき	aki	秋
to open, to become open	あく	aku	開く
to open	あける	akeru	開ける
to give	あげる	ageru	上げる
morning	あさ	asa	朝
breakfast	あさごはん	asagohan	朝御飯
day after tomorrow	あさって	asatte	
foot, leg	あし	ashi	足
tomorrow	あした	ashita	
there, over there, that place	あそこ	asoko	
to play, to enjoy oneself	あそぶ	asobu	遊ぶ
warm, mild	あたたかい	atatakai	暖かい
head	あたま	atama	頭
new	あたらしい	atarashii	新しい
there, yonder, that	あちら	achira	
hot, warm	あつい	atsui	暑い
hot (thing)	あつい	atsui	熱い
kind, warm(hearted), thick, deep	あつい	atsui	厚い
over there	あっち	acchi	
afterwards, since then, in the future	あと	ato	後
you	あなた	anata	
(hum) older brother	あに	ani	兄
(hum) older sister	あね	ane	姉
that over there	あの	ano	
um...	あの	ano	
apartment (abbr)	アパート	apaato	
to bathe, to shower	あびる	abiru	
dangerous, critical, watch out!	あぶない	abunai	危ない
generous, sweet	あまい	amai	甘い
not very, not much	あまり	amari	
rain	あめ	ame	雨
(hard) candy, toffee	あめ	ame	飴
to wash	あらう	arau	洗う
to be	ある [存在]	aru	
to have	ある [所有]	aru	
to walk	あるく	aruku	歩く
that, that thing	あれ	are	
good	いい/よい	ii/yoi	
no, not at all	いいえ	iie	
to say	いう	iu	言う
house, family	いえ	ie	家
how, in what way	いかが	ikaga	
to go	いく/ゆく	iku/yuku	行く
how many?, how old?	いくつ	ikutsu	
how much?, how many?	いくら	ikura	
pond	いけ	ike	池
doctor (medical)	いしゃ	isha	医者
chair	いす	isu	
busy, irritated	いそがしい	isogashii	忙しい
painful	いたい	itai	痛い
one	いち	ichi	一
1 day (duration)	いちにち	ichinichi	一日
best, first, number one	いちばん	ichiban	
when	いつ	itsu	
five days, the fifth day (of the month)	いつか	itsuka	五日
together	いっしょ	issho	一緒
five	いつつ	itsutsu	五つ
always, every time	いつも	itsumo	
dog	いぬ	inu	犬
now	いま	ima	今
meaning	いみ	imi	意味
younger sister	いもうと	imouto	妹
disagreeable, no	いや	iya	嫌
entrance, gate	いりぐち	iriguchi	入口
(hum) to be (animate), to exist	いる	iru	居る
to need	いる	iru	要る
to put in	いれる	ireru	入れる
colour	いろ	iro	色
various	いろいろ	iroiro	
above, on top of	うえ	ue	上
behind, rear	うしろ	ushiro	後ろ
thin, weak	うすい	usui	薄い
song	うた	uta	歌
to sing	うたう	utau	歌う
house (one's own)	うち	uchi	
to be born	うまれる	umareru	生まれる
sea, beach	うみ	umi	海
to sell	うる	uru	売る
noisy, loud, annoying	うるさい	urusai	
coat, jacket	うわぎ	uwagi	上着
picture, drawing, painting, sketch	え	e	絵
movie, film	えいが	eiga	映画
movie theatre (theater), cinema	えいがかん	eigakan	映画館
the English language	えいご	eigo	英語
yes	ええ	ee	
station	えき	eki	駅
elevator	エレベーター	erebeetaa	
yen (currency)	～えん	～en	～円
pencil	えんぴつ	enpitsu	鉛筆
honourable ～ (honorific)	お～	o～	
delicious, tasty	おいしい	oishii	
many	おおい	ooi	多い
big	おおきい	ooki	大きい
big	おおきな	ookina	大きな
great number of people	おおぜい	oozei	大勢
(hon) mother	おかあさん	okaasan	お母さん
confections, sweets, candy	おかし	okashi	お菓子
money	おかね	okane	お金
to get up, to rise	おきる	okiru	起きる
to put, to place	おく	oku	置く
(hon) wife	おくさん	okusan	奥さん
alcohol, sake (rice wine)	おさけ	osake	お酒
plate, dish	おさら	osara	お皿
uncle, middle aged man	おじさん	ojisan	伯父/叔父・さん
grandfather, male senior citizen	おじいさん	ojiisan	
to teach, to inform	おしえる	oshieru	教える
to push, to press	おす	osu	押す
late, slow	おそい	osoi	遅い
tea (green)	おちゃ	ocha	お茶
toilet, lavatory, bathroom	おてあらい	otearai	お手洗い
(hon) father	おとうさん	otousan	お父さん
younger brother	おとうと	otouto	弟
man	おとこ	otoko	男
boy	おとこのこ	otokonoko	男の子
day before yesterday	おととい	ototoi	
year before last	おととし	ototoshi	
adult	おとな	otona	大人
stomach	おなか	onaka	
same, identical, similar	おなじ	onaji	同じ
(hon) older brother	おにいさん	oniisan	お兄さん
(hon) older sister	おねえさん	oneesan	お姉さん
aunt	おばさん	obasan	伯母さん/叔母さん
grandmother, female senior-citizen	おばあさん	obaasan	
bath	おふろ	ofuro	お風呂
boxed lunch	おべんとう	obentou	お弁当
to remember, to memorize	おぼえる	oboeru	覚える
policeman (friendly term)	おまわりさん	omawarisan	
heavy	おもい	omoi	重い
interesting, amusing	おもしろい	omoshiroi	
to swim	およぐ	oyogu	泳ぐ
to alight (eg from bus), to get off	おりる	oriru	降りる
to finish, to close	おわる	owaru	終る
music	おんがく	ongaku	音楽
woman, girl, daughter	おんな	onna	女
girl	おんなのこ	onnanoko	女の子
counter for occurrences	～かい	～kai	～回
counter for storeys of a building	～かい	～kai	～階
foreign country	がいこく	gaikoku	外国
foreigner	がいこくじん	gaikokujin	外国人
company, corporation	かいしゃ	kaisha	会社
stairs	かいだん	kaidan	階段
shopping	かいもの	kaimono	買い物
to buy	かう	kau	買う
to return something	かえす	kaesu	返す
to go home, to return	かえる	kaeru	帰る
face (person)	かお	kao	顔
to take (eg time, money)	かかる	kakaru	
key/s	かぎ	kagi	
to write	かく	kaku	書く
student	がくせい	gakusei	学生
(number of) months	～かげつ	～kagetsu	～か月
to put on (eg glasses)	かける	kakeru	
to dial/call (eg phone)	かける	kakeru	
umbrella	かさ	kasa	傘
to lend	かす	kasu	貸す
wind, breeze	かぜ	kaze	風
cold, illness	かぜ	kaze	風邪
person	かた	kata	方
family	かぞく	kazoku	家族
katakana	かたかな	katakana	片仮名
month of year	～がつ	～gatsu	～月
school	がっこう	gakkou	学校
cup	カップ	kappu	
home, household	かてい	katei	家庭
corner (e.g. desk)	かど	kado	角
bag, basket	かばん	kaban	
(flower) vase	かびん	kabin	花瓶
to wear, to put on (head)	かぶる	kaburu	
paper	かみ	kami	紙
camera	カメラ	kamera	
Tuesday	かようび	kayoubi	火曜日
spicy, salty	からい	karai	辛い
body	からだ	karada	体
to borrow, to have a loan	かりる	kariru	借りる
feel	～がる	～garu	
light, non-serious, minor	かるい	karui	軽い
curry	カレー	karee	
calendar	カレンダー	karendaa	
river	かわ	kawa	川/河
～ side	～がわ	～gawa	側
cute, charming	かわいい	kawaii	
kanji, Chinese character	かんじ	kanji	漢字
tree, wood	き	ki	木
yellow	きいろ	kiiro	黄色
yellow	きいろい	kiiroi	黄色い
to go out, to vanish	きえる	kieru	消える
to hear, to listen, to ask	きく	kiku	聞く
north	きた	kita	北
guitar	ギター	gitaa	
dirty, messy	きたない	kitanai	汚い
coffee lounge	きっさてん	kissaten	喫茶店
stamp (eg. postage)	きって	kitte	切手
ticket	きっぷ	kippu	切符
yesterday	きのう	kinou	昨日
nine	きゅう	kyuu	九
beef	ぎゅうにく	gyuuniku	牛肉
milk	ぎゅうにゅう	gyuunyuu	牛乳
today, this day	きょう	kyou	今日
classroom	きょうしつ	kyoushitsu	教室
siblings (brothers and sisters)	きょうだい	kyoudai	兄弟
last year	きょねん	kyonen	去年
dislike, hate	きらい	kirai	嫌い
to cut, to chop	きる	kiru	切る
to wear, to put on (from shoulders down)	きる	kiru	着る
pretty, clean, nice, tidy	きれい	kirei	
kilo (kilogram)	キロ/キログラム	kiro/kiroguramu	
kilo (kilometre)	キロ/キロメートル	kiro/kiromeetoru	
bank	ぎんこう	ginkou	銀行
Friday	きんようび	kinyoubi	金曜日
nine	く	ku	九
medicine	くすり	kusuri	薬
(with te-form verb) please do for me	ください	kudasai	
fruit	くだもの	kudamono	果物
mouth, orifice, opening	くち	kuchi	口
shoes, footwear	くつ	kutsu	靴
socks	くつした	kutsushita	靴下
country	くに	kuni	国
cloudiness, cloudy weather	くもり	kumori	曇り
to become cloudy, to become dim	くもる	kumoru	曇る
dark, gloomy	くらい	kurai	暗い
approximate (quantity)	～くらい/ぐらい	～kurai/gurai	
class	クラス	kurasu	
gram	グラム	guramu	
to come	くる	kuru	来る
car, vehicle	くるま	kuruma	車
black	くろ	kuro	黒
black	くろい	kuroi	黒い
policeman	けいかん	keikan	警官
this morning	けさ	kesa	今朝
to erase, to delete, to turn off power	けす	kesu	消す
nice, enough	けっこう	kekkou	結構
marriage	けっこん（する）	kekkon (suru)	結婚
Monday	げつようび	getsuyoubi	月曜日
entrance-way, entry hall	げんかん	genkan	玄関
health	げんき	genki	元気
counter for small items	～こ	～ko	～個
five	ご	go	五
word, language	～ご	～go	～語
(public) park	こうえん	kouen	公園
intersection	こうさてん	kousaten	交差点
black tea	こうちゃ	koucha	紅茶
police box	こうばん	kouban	交番
voice	こえ	koe	声
coat	コート	kooto	
coffee	コーヒー	koohii	
here, this place	ここ	koko	
afternoon, P.M.	ごご	gogo	午後
nine days, the ninth day (of the month)	ここのか	kokonoka	九日
nine	ここのつ	kokonotsu	九つ
morning, A.M.	ごぜん	gozen	午前
to answer, to reply	こたえる	kotaeru	答える
this eg person, way	こちら	kochira	
this eg person, way	こっち	kocchi	
cup	コップ	koppu	
this year	ことし	kotoshi	今年
word	ことば	kotoba	言葉
child, children	こども	kodomo	子供
this	この	kono	
rice (cooked), meal	ごはん	gohan	御飯
to copy	コピー・する	kopii・suru	
to be worried, to be bothered	こまる	komaru	困る
this	これ	kore	
about, approximately (time)	～ころ/～ごろ	～koro/～goro	
this month	こんげつ	kongetsu	今月
this week	こんしゅう	konshuu	今週
such, like this	こんな	konna	
tonight, this evening	こんばん	konban	今晩
come now, well	さあ	saa	
～years-old	～さい	～sai	～歳
wallet	さいふ	saifu	財布
fish	さかな	sakana	魚
the future, former, previous	さき	saki	先
to bloom	さく	saku	咲く
composition, writing	さくぶん	sakubun	作文
to raise (stretch out) hands, to raise (eg umbrella)	さす	sasu	差す
counter for books	～さつ	～satsu	～冊
magazine	ざっし	zasshi	雑誌
sugar	さとう	satou	砂糖
cold (e.g. weather)	さむい	samui	寒い
year after next	さらいねん	sarainen	さ来年
Mr or Mrs	～さん	～san	
three	さん	san	三
walk, stroll	さんぽ（する）	sanpo (suru)	散歩
four	し	shi	四
time (～ O'clock)	～じ	～ji	～時
salt	しお	shio	塩
however, but	しかし	shikashi	
time	じかん	jikan	時間
～hours	～じかん	～jikan	～時間
work, occupation, employment	しごと	shigoto	仕事
dictionary	じしょ	jisho	辞書
quiet, peaceful	しずか	shizuka	静か
under, below, beneath	した	shita	下
seven	しち	shichi	七
question, inquiry	しつもん	shitsumon	質問
bicycle	じてんしゃ	jitensha	自転車
automobile	じどうしゃ	jidousha	自動車
to die	しぬ	shinu	死ぬ
dictionary	じびき	jibiki	字引
myself, oneself	じぶん	jibun	自分
to close, to be closed	しまる	shimaru	閉まる
to close, to shut	しめる	shimeru	閉める
to tie, to fasten	しめる	shimeru	締める
well, well then	じゃ/じゃあ	ja/jaa	
photograph	しゃしん	shashin	写真
shirt, singlet	シャツ	shatsu	
shower	シャワー	shawaa	
ten	じゅう	juu	十
during, while	～じゅう	～juu	～中
～weeks	～しゅうかん	～shuukan	～週間
lesson, class work	じゅぎょう	jugyou	授業
homework	しゅくだい	shukudai	宿題
skill, skillful, dexterity	じょうず	jouzu	上手
strong, solid, durable	じょうぶ	joubu	丈夫
soy sauce	しょうゆ	shouyu	
cafeteria, dining hall	しょくどう	shokudou	食堂
to know, to understand	しる	shiru	知る
white	しろ	shiro	白
white	しろい	shiroi	白い
counter for people	～にん	～nin	～人
newspaper	しんぶん	shinbun	新聞
Wednesday	すいようび	suiyoubi	水曜日
to smoke, to breathe in, to suck	すう	sū	吸う
skirt	スカート	sukaato	
liking, fondness, love	すき	suki	好き
to exceed, ～ too much	～すぎ	～sugi	
a few, scarce	すくない	sukunai	少ない
immediately, instantly	すぐ・に	sugu・ni	
little, few	すこし	sukoshi	少し
cool, refreshing	すずしい	suzushii	涼しい
at a time, gradually	～ずつ	～zutsu	
heater (lit: stove)	ストーブ	sutoobu	
spoon	スプーン	supuun	
sport	スポーツ	supootsu	
trousers (fr: jupon)	ズボン	zubon	
to reside, to live in	すむ	sumu	住む
slippers	スリッパ	surippa	
to do, to try	する	suru	
to sit	すわる	suwaru	座る
height, stature	せい	sei	背
pupil	せいと	seito	生徒
sweater, jumper	セーター	seetaa	
soap	せっけん	sekken	石鹸
business suit	せびろ	sebiro	背広
narrow, confined, small	せまい	semai	狭い
zero	ゼロ	zero	
thousand, many	せん	sen	千
last month	せんげつ	sengetsu	先月
last week, the week before	せんしゅう	senshuu	先週
teacher, master, doctor	せんせい	sensei	先生
washing, laundry	せんたく	sentaku	洗濯
all, entire, whole	ぜんぶ	zenbu	全部
